Sort Code,Master sort,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Score,Frequency,Converted Ct,Transformed Ct,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
2,,"10kL Flow, Tank 19",2,19.10.2a,,,,,,,,,,012919LCB3F,G08,32.8,1,,32.8,17.201,,,8a,eONKI4,080818JMR2F,A12,32.1,,ePlant5,080818JMR1H,E11,33.42,0,,,,,,,,,2
2,,"10kL Flow, Tank 19",2,19.10.2a,,,,,,,,,,012919LCB3F,H08,33.51,1,,33.51,16.491,,,8a,eONKI4,080818JMR2F,B12,30.76,,ePlant5,080818JMR1H,F11,32.3,0,,,,,,,,,2
3,3,"10kL Flow, Tank 19",3,19.10.3a,3a,012919LCB1G,A03,19.27,,,,1, 4/4,012919LCB3F,A03,37.42,1,8/8,37.42,12.581,14.011,1.008,3a,eONKI4,080818JMR3G,A12,31.53,,ePlant5,080818JMR1H,G11,33.11,0,,,,,,,,,2
3,,"10kL Flow, Tank 19",3,19.10.3a,,012919LCB1G,B03,19.88,,,,1,,012919LCB3F,B03,37.5,1,,37.5,12.501,,,3a,eONKI4,080818JMR3G,B12,31.89,,ePlant5,080818JMR1H,H11,34.17,0,,,,,,,,,3
3,,"10kL Flow, Tank 19",3,19.10.3a,,012919LCB1G,C03,19.31,,,,1,,012919LCB3F,C03,36.02,1,,36.02,13.981,,,3a,eONKI4,080818JMR3H,A12,31.42,,ePlant5,080818JMR1F,A11,32.99,0,0/8,,,,,,,,3
3,,"10kL Flow, Tank 19",3,19.10.3a,,012919LCB1G,D03,19.8,,,,1,,012919LCB3F,D03,35.3,1,,35.3,14.701,,,3a,eONKI4,080818JMR3H,B12,31.28,,ePlant5,080818JMR1F,B11,35.07,0,,,,,,,,,3
3,,"10kL Flow, Tank 19",3,19.10.3a,,,,,,,,,,012919LCB3F,E03,35.22,1,,35.22,14.781,,,3a,eONKI4,080818JMR3F,A12,31.21,,ePlant5,080818JMR1F,C11,34.58,0,,,,,,,,,3
3,,"10kL Flow, Tank 19",3,19.10.3a,,,,,,,,,,012919LCB3F,F03,36.03,1,,36.03,13.971,,,3a,eONKI4,080818JMR3F,B12,31.41,,ePlant5,080818JMR1F,D11,33.5,0,,,,,,,,,3
3,,"10kL Flow, Tank 19",3,19.10.3a,,,,,,,,,,012919LCB3F,G03,35.72,1,,35.72,14.281,,,3a,eONKI4,080818JMR4G,A12,31.35,,ePlant5,080818JMR1F,E11,33.85,0,,,,,,,,,3
3,,"10kL Flow, Tank 19",3,19.10.3a,,,,,,,,,,012919LCB3F,H03,34.71,1,,34.71,15.291,,,3a,eONKI4,080818JMR4G,B12,31.43,,ePlant5,080818JMR1F,F11,33.94,0,,,,,,,,,3
4,4,"10kL Flow, Tank 20",1,20.10.1a,22a,012919LCB1F,A02,16.33,,,,1, 4/4,013019LCB1F,A02,32.05,1,8/8,32.05,17.951,18.432,0.303,22a,eONKI4,080818JMR4H,A12,31.33,,ePlant5,080818JMR1F,G11,33.79,0,,,,,,,,,3
4,,"10kL Flow, Tank 20",1,20.10.1a,,012919LCB1F,B02,16.29,,,,1,,013019LCB1F,B02,31.39,1,,31.39,18.611,,,22a,eONKI4,080818JMR4H,B12,30.9,,ePlant5,080818JMR1F,H11,35.23,0,,,,,,,,,4
4,,"10kL Flow, Tank 20",1,20.10.1a,,012919LCB1F,C02,16.3,,,,1,,013019LCB1F,C02,31.18,1,,31.18,18.821,,,22a,eONKI4,080918JMR2H,A12,30.71,,ePlant5,080818JMR2G,A11,33.99,0,0/8,,,,,,,,4
4,,"10kL Flow, Tank 20",1,20.10.1a,,012919LCB1F,D02,16.39,,,,1,,013019LCB1F,D02,31.78,1,,31.78,18.221,,,22a,eONKI4,080918JMR2H,B12,31.08,,ePlant5,080818JMR2G,B11,33.38,0,,,,,,,,,4
4,,"10kL Flow, Tank 20",1,20.10.1a,,,,,,,,,,013019LCB1F,E02,31.58,1,,31.58,18.421,,,22a,ePLANT5,012919LCB1G,A12,17.75,,ePlant5,080818JMR2G,C11,35.13,0,,,,,,,,,4
