Sort Code,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Adjusted Ct  (N/A=50),Transformed Ct (50.001-Ct),Score,Frequency,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
4,"1 Fish, Tank 19",4,01.19.4,21,072418JMR1G,A01,17.63,1, 4/4,072518JMR1H,A01,34.8,34.8,15.20,1,8/8,13.92,1.41,21,eONKI4,072518JMR2F,B12,31.31,,ePlant5,072418JMR2F,H11,32.26,0,,,,,,,,,4
4,"1 Fish, Tank 19",4,01.19.4,,072418JMR1G,B01,17.9,1,,072518JMR1H,B01,37.5,37.5,12.50,1,,,,21,eONKI4,072518JMR2G,A12,31.65,,ePlant5,072418JMR2G,A11,36.1,0,0/8,,,,,,,,4
4,"1 Fish, Tank 19",4,01.19.4,,072418JMR1G,C01,17.63,1,,072518JMR1H,C01,34.44,34.44,15.56,1,,,,21,eONKI4,072518JMR2G,B12,31.59,,ePlant5,072418JMR2G,B11,38.86,0,,,,,,,,,4
4,"1 Fish, Tank 19",4,01.19.4,,072418JMR1G,D01,17.91,1,,072518JMR1H,D01,34.35,34.35,15.65,1,,,,21,eONKI4,072518JMR2H,A12,30.96,,ePlant5,072418JMR2G,C11,37.59,0,,,,,,,,,4
4,"1 Fish, Tank 19",4,01.19.4,,,,,,,072518JMR1H,E01,35.29,35.29,14.71,1,,,,21,eONKI4,072518JMR2H,B12,30.93,,ePlant5,072418JMR2G,D11,37.56,0,,,,,,,,,4
4,"1 Fish, Tank 19",4,01.19.4,,,,,,,072518JMR1H,F01,38,38,12.00,1,,,,21,eONKI4,072518JMR3F,A12,31.92,,ePlant5,072418JMR2G,E11,39.34,0,,,,,,,,,4
4,"1 Fish, Tank 19",4,01.19.4,,,,,,,072518JMR1H,G01,37.33,37.33,12.67,1,,,,21,eONKI4,072518JMR3F,B12,30.64,,ePlant5,072418JMR2G,F11,36.75,0,,,,,,,,,4
4,"1 Fish, Tank 19",4,01.19.4,,,,,,,072518JMR1H,H01,36.9,36.9,13.10,1,,,,21,eONKI4,072518JMR3G,A12,31.69,,ePlant5,072418JMR2G,G11,36.58,0,,,,,,,,,4
5,"1 Fish, Tank 19",5,01.19.5,63,072418JMR2G,A03,15.9,1, 4/4,072518JMR3F,A03,36.34,36.34,13.66,1,7/8,10.82,1.33,63,eONKI4,072518JMR3G,B12,31.34,,ePlant5,072418JMR2G,H11,39.37,0,,,,,,,,,5
5,"1 Fish, Tank 19",5,01.19.5,,072418JMR2G,B03,15.66,1,,072518JMR3F,B03,37.31,37.31,12.69,1,,,,63,eONKI4,072518JMR3H,A12,33.13,,ePlant5,072418JMR3F,A11,37.35,0,0/8,,,,,,,,5
5,"1 Fish, Tank 19",5,01.19.5,,072418JMR2G,C03,15.52,1,,072518JMR3F,C03,N/A,50,0.00,0,,,,63,eONKI4,072518JMR3H,B12,32.66,,ePlant5,072418JMR3F,B11,37.02,0,,,,,,,,,5
5,"1 Fish, Tank 19",5,01.19.5,,072418JMR2G,D03,15.87,1,,072518JMR3F,D03,39.57,39.57,10.43,1,,,,63,eONKI4,072518JMR4F,A12,31.34,,ePlant5,072418JMR3F,C11,36.38,0,,,,,,,,,5
